Bore.ID,Easting,Northing,Latitude.x,Longitude.x,Date,SWL,Drilled.Depth..m.,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Mrainfall.mm.,Salinity,Longitude.y,Latitude.y,Completed Depth
GW014595,598939,6158942,-34.7068,148.0804,1/11/1982,4.77,13.1,320,0.739595,7.92557,4,Qa,0.2,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,1/09/1982,4.61,13.1,320,0.739595,7.92557,4,Qa,48.3,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,1/06/1979,4.46,13.1,320,0.739595,7.92557,4,Qa,10.3,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,1/05/1979,4.35,13.1,320,0.739595,7.92557,4,Qa,56.6,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,4/01/1979,0,13.1,320,0.739595,7.92557,4,Qa,15.3,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,13/08/1987,0,13.1,320,0.739595,7.92557,4,Qa,52.1,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,2/08/1985,0,13.1,320,0.739595,7.92557,4,Qa,139,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,9/01/1984,0,13.1,320,0.739595,7.92557,4,Qa,277.8,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,14/09/1978,1.6,13.1,320,0.739595,7.92557,4,Qa,141.1,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,14/04/1980,5.31,13.1,320,0.739595,7.92557,4,Qa,23.6,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,13/10/1981,2.56,13.1,320,0.739595,7.92557,4,Qa,55.5,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,13/08/1981,2.23,13.1,320,0.739595,7.92557,4,Qa,57.2,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,13/05/1974,6.5,13.1,320,0.739595,7.92557,4,Qa,62.4,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,13/02/1975,1.69,13.1,320,0.739595,7.92557,4,Qa,45.1,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,10/08/1978,5.12,13.1,320,0.739595,7.92557,4,Qa,32.2,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,9/05/1985,0,13.1,320,0.739595,7.92557,4,Qa,70.9,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,14/03/1978,5.03,13.1,320,0.739595,7.92557,4,Qa,38.6,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,9/12/1974,1.25,13.1,320,0.739595,7.92557,4,Qa,5.2,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,11/08/1983,3.07,13.1,320,0.739595,7.92557,4,Qa,103.9,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,11/11/1980,5.41,13.1,320,0.739595,7.92557,4,Qa,13,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,12/03/1974,7.45,13.1,320,0.739595,7.92557,4,Qa,10.1,NA,148.0804,34.7068,13.1
GW014595,598939,6158942,-34.7068,148.0804,12/04/1983,0,13.1,320,0.739595,7.92557,4,Qa,95,NA,148.0804,34.7068,13.1
