Bore.ID,Easting,Northing,Latitude,Longitude,Date,SWL,Drilled.Depth..m.,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Mrainfall.mm.,Salinity
Dinyah_deep,593220,6170799,-34.60041,148.01663,9/04/2015,2.73,18.5,344,0.728016,7.308076,5,Qa,21.3,5238
Coolac,606506,6134134,-34.92968,148.16614,7/04/2015,5.07,15.1,239,0.587074,8.431359,4,Qa,13.2,1957
GW400251,599052,6170914,-34.5988,148.0802,9/04/2015,1.91,5,381,1.848508,6.019974,3,Sbs,41.7,2429
GW400253,599051,6170914,-34.5988,148.0802,9/04/2015,1.95,11.6,381,1.848508,6.019974,3,Sbs,97.3,1973
GW400255,598686,6169984,-34.6072,148.0763,9/04/2015,1.35,13.6,370,2.102657,6.563342,3,Sbs,36.5,2470
GW400256,598685,6169984,-34.6072,148.0763,9/04/2015,1.82,5,370,2.102657,6.563342,3,Sbs,25.5,2575
Dinyah_Hopes 7: Deep,592343,6173867.516,-34.57282,148.00674,9/04/2015,0.64,16.56,362,1.020261,7.054324,3,Qa,64.1,4389
Dinyah_Hopes 7: shallow,592269,6173718.531,-34.57417,148.00595,10/04/2015,2.13,6.02,364,2.064191,6.02339,2,Qa,64.1,8551
Dinyah_Lane way,592937,6172178.021,-34.588,148.0134,9/04/2015,3.75,8.27,350,0.309164,8.446316,4,Qa,64.1,601
Dinayh _Near house,593085,6171843.816,-34.591,148.01505,9/04/2015,3.26,8.39,349,0.80547,7.089855,5,Qa,64.1,5192
GW400561,597735,6146023,-34.8234,148.0687,10/06/2015,4.08,8,304,1.24355,6.647909,3,Sbs,69.3,4757
GW400560,597927,6145945,-34.8241,148.0708,10/06/2015,3.07,14,304,0.502662,9.297188,4,Sws,69.3,5232
GW400563,596874,6150629,-34.7819,148.0588,10/06/2015,2.28,14,313,1.457451,6.715132,3,Sbs,69.3,6180
GW400564,596533,6150302,-34.7849,148.0551,10/06/2015,2.95,16.5,325,2.200544,6.574702,2,Dcc,69.3,11836
GW400552,604835,6154803,-34.7435,148.1453,10/06/2015,1.23,8,417,5.93511,5.478523,1,Cj,69,2074
GW400555,604940,6155155,-34.7403,148.1464,10/06/2015,4.98,10.5,421,2.718057,6.011496,2,Cj,69,1293
GW400550,595537,6174223,-34.5693,148.0415,12/06/2015,0,17,370,0.929375,6.87526,3,Sbs,65.3,2866
GW400551,595384,6174190,-34.5696,148.0398,12/06/2015,1.76,4,371,2.004911,5.878403,2,Sbs,65.3,2418
GW400548,595812,6174131,-34.5701,148.0445,12/06/2015,1.51,15.5,375,2.141957,6.05646,0,Qa,65.3,4465
GW400129,583489,6164991,-34.6536,147.9111,11/06/2015,NA,2.92,447,2.160147,6.728999,3,Sfv,66.3,NA
GW400130,583475,6164979,-34.6537,147.9109,11/06/2015,0.305,13.35,447,2.694556,6.688941,3,Sfv,66.3,5075
