FID,Work_No,Measuremen,Standing_W,Easting,Longitude,Latitude,Northing,Muttama_Mr,Slope,swi1,dem,Lithology1,Lithology_
111,GW020081,16/09/1975 0:00:00,7.200000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
112,GW020081,16/08/1989 0:00:00,1.320000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
113,GW020081,16/07/1979 0:00:00,6.370000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
114,GW020081,16/02/1979 0:00:00,6.330000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
115,GW020081,16/02/1978 0:00:00,6.590000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
116,GW020081,15/10/1984 0:00:00,0.000000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
117,GW020081,15/02/1974 0:00:00,10.109999999999999,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
118,GW020081,19/07/1988 0:00:00,3.240000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
119,GW020081,29/08/1980 0:00:00,6.620000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
120,GW020081,15/01/1999 0:00:00,3.100000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
121,GW020081,14/12/1982 0:00:00,6.370000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
122,GW020081,15/09/1981 0:00:00,6.340000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
123,GW020081,26/02/1980 0:00:00,6.740000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
124,GW020081,16/10/1990 0:00:00,1.670000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
125,GW020081,14/09/1978 0:00:00,6.580000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
