"Work.No","Measurement.date.x","Standing_Water_level..m..x","Easting.x","Longitude.x","Latitude.x","Northing.x","Measurement.date.y","Standing_Water_level..m..y","Easting.y","Longitude.y","Latitude.y","Northing.y","Drilled_De","Salinity","Elevation"
"GW014595","8/11/1978",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","3/12/1979",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","3/01/1975",1.77,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","2/12/1980",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","13/04/1978",5.13,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","1/12/1981",3.31,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","1/12/1978",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","1/11/1982",4.77,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","1/09/1982",4.61,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","1/06/1979",4.46,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","1/05/1979",4.35,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","4/01/1979",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","13/08/1987",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","2/08/1985",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","9/01/1984",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","14/09/1978",1.6,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","14/04/1980",5.31,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","13/10/1981",2.56,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","13/08/1981",2.23,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","13/05/1974",6.5,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","13/02/1975",1.69,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","10/08/1978",5.12,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","9/05/1985",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","14/03/1978",5.03,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","9/12/1974",1.25,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","11/08/1983",3.07,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","11/11/1980",5.41,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","12/03/1974",7.45,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","12/04/1983",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","12/07/1978",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014742","1/11/1987",5.4,"603,490",148.1323,-34.8715,"6,140,622",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020020","1/11/1987",7.8,"599,025",148.0798,-34.5915,"6,171,727",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020020","15/01/1999",3.9,"599,025",148.0798,-34.5915,"6,171,727",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020020","8/07/1998",1.8,"599,025",148.0798,-34.5915,"6,171,727",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020020","3/04/2001",0,"599,025",148.0798,-34.5915,"6,171,727",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","16/10/1979",6.41,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","19/06/1978",0,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","19/03/1991",3.11,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","19/05/1980",6.75,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","19/02/1985",3.67,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","19/05/1983",6.6,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","19/02/1981",6.74,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","18/10/1983",0,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","18/02/1983",6.54,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","17/09/1979",6.38,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","17/01/1980",6.65,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","19/03/1982",6.29,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","16/10/1975",7.11,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","16/09/1975",7.2,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","16/08/1989",1.32,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","16/07/1979",6.37,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","16/02/1979",6.33,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","16/02/1978",6.59,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","15/10/1984",0,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","15/02/1974",10.11,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","19/07/1988",3.24,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","29/08/1980",6.62,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","15/01/1999",3.1,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","14/12/1982",6.37,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
