cells,Latitude,Longitude,Date.x,Rainfall,MDate,FID,Work_No,Date.y,Standing_W,Easting,Northing,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Yield Description,Drilled Depth,Salinity
29,-34.7029,148.0815,1975-05-16,23.399999999999636,1975-05-01,236,GW020352,1975-05-21,4.55,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7008999999999,148.088699999999,1975-06-16,13.099999999999909,1975-06-01,191,GW020081,1975-06-09,7.5,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1975-06-16,13.099999999999909,1975-06-01,273,GW020352,1975-06-09,4.7,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7008999999999,148.088699999999,1975-08-16,69.09999999999991,1975-08-01,149,GW020081,1975-08-14,7.47,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1975-08-16,69.09999999999991,1975-08-01,257,GW020352,1975-08-14,4.68,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7008999999999,148.088699999999,1975-09-16,90.39999999999964,1975-09-01,111,GW020081,1975-09-16,7.2,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1975-09-16,90.39999999999964,1975-09-01,211,GW020352,1975-09-16,4.4,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7008999999999,148.088699999999,1975-10-16,121,1975-10-01,110,GW020081,1975-10-16,7.11,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1975-10-16,121,1975-10-01,210,GW020352,1975-10-16,4.5,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7008999999999,148.088699999999,1976-01-16,112,1976-01-01,155,GW020081,1976-01-07,6.98,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1976-01-16,112,1976-01-01,242,GW020352,1976-01-07,4.46,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
