cells,Latitude,Longitude,Date.x,Rainfall,MDate,FID,Work_No,Date.y,Standing_W,Easting,Northing,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Drilled.Depth,Salinity
42,-34.7068,148.0804,1980-12-16,97.69999999999982,1980-12-01,66,GW014595,1980-12-02,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-04-16,28.199999999999818,1978-04-01,67,GW014595,1978-04-13,5.13,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1981-12-16,28.59999999999991,1981-12-01,68,GW014595,1981-12-01,3.31,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-12-16,75.29999999999973,1978-12-01,69,GW014595,1978-12-01,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1982-11-16,0.1999999999998181,1982-11-01,70,GW014595,1982-11-01,4.77,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1982-09-16,48.29999999999973,1982-09-01,71,GW014595,1982-09-01,4.61,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-06-16,10.299999999999727,1979-06-01,72,GW014595,1979-06-01,4.46,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-05-16,56.59999999999991,1979-05-01,73,GW014595,1979-05-01,4.35,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1979-01-16,15.299999999999727,1979-01-01,74,GW014595,1979-01-04,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1987-08-16,52.09999999999991,1987-08-01,75,GW014595,1987-08-13,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1985-08-16,139,1985-08-01,76,GW014595,1985-08-02,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1984-01-16,277.7999999999997,1984-01-01,77,GW014595,1984-01-09,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-09-16,141.0999999999999,1978-09-01,78,GW014595,1978-09-14,1.6,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1980-04-16,23.59999999999991,1980-04-01,79,GW014595,1980-04-14,5.31,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1981-10-16,55.5,1981-10-01,80,GW014595,1981-10-13,2.56,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1981-08-16,57.19999999999982,1981-08-01,81,GW014595,1981-08-13,2.23,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1974-05-16,62.399999999999636,1974-05-01,82,GW014595,1974-05-13,6.5,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1975-02-15,45.09999999999991,1975-02-01,83,GW014595,1975-02-13,1.69,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-08-16,32.19999999999982,1978-08-01,84,GW014595,1978-08-10,5.12,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1985-05-16,70.89999999999964,1985-05-01,85,GW014595,1985-05-09,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-03-16,38.59999999999991,1978-03-01,86,GW014595,1978-03-14,5.03,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1974-12-16,5.199999999999818,1974-12-01,87,GW014595,1974-12-09,1.25,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1983-08-16,103.89999999999964,1983-08-01,88,GW014595,1983-08-11,3.07,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1980-11-16,13,1980-11-01,89,GW014595,1980-11-11,5.41,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1974-03-16,10.099999999999909,1974-03-01,90,GW014595,1974-03-12,7.45,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1983-04-16,95,1983-04-01,91,GW014595,1983-04-12,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,-34.7068,148.0804,1978-07-16,76.5,1978-07-01,92,GW014595,1978-07-12,0,598939,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
70,-34.8715,148.1323,1987-11-16,28.59999999999991,1987-11-01,93,GW014742,1987-11-01,5.4,603490,6140622,280,3.9421599,5.4379001,2,Cj,36.6,NA
24,-34.5915,148.0798,1987-11-16,25.199999999999818,1987-11-01,94,GW020020,1987-11-01,7.8,599025,6171727,393,1.13828,7.9900498,3,Sbs,0,NA
24,-34.5915,148.0798,1999-01-16,97.29999999999973,1999-01-01,95,GW020020,1999-01-15,3.9,599025,6171727,393,1.13828,7.9900498,3,Sbs,0,NA
24,-34.5915,148.0798,1998-07-16,105.79999999999973,1998-07-01,96,GW020020,1998-07-08,1.8,599025,6171727,393,1.13828,7.9900498,3,Sbs,0,NA
24,-34.5915,148.0798,2001-04-16,55.79999999999973,2001-04-01,97,GW020020,2001-04-03,0,599025,6171727,393,1.13828,7.9900498,3,Sbs,0,NA
42,-34.7009,148.0887,1979-10-16,31.299999999999727,1979-10-01,98,GW020081,1979-10-16,6.41,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1978-06-16,61.5,1978-06-01,99,GW020081,1978-06-19,0,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1991-03-16,15.599999999999909,1991-03-01,100,GW020081,1991-03-19,3.11,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
